PARROQUIA;CODIGO_PARROQUIA;NOMBRE;CODIGO_INSTITUCION;TIPO_EDUCACION;SOSTENIMIENTO;ZONA;MODALIDAD;DOCENTES;TOTAL_ESTUDIANTES
GARCIA MORENO;090105;MI NUEVO AMANECER;09H00499;Educación Regular;Particular;UrbanaINEC;Presencial;7;43
GARCIA MORENO;090105;PRIMAVERA 285;09H00500;Educación Regular;Particular;UrbanaINEC;Presencial;5;56
LETAMENDI;090106;MERCEDES MORENO IRIGOYEN  349;09H00501;Educación Regular;Fiscal;UrbanaINEC;Presencial;17;366
LETAMENDI;090106;VAMOS A ESTUDIAR 240;09H00502;Educación Regular;Particular;UrbanaINEC;Presencial;6;81
LETAMENDI;090106;SHADDAI 1449;09H00503;Educación Regular;Particular;UrbanaINEC;Presencial;9;203
LETAMENDI;090106;RAFAEL CASTILLO ROMERO;09H00504;Educación Regular;Particular;UrbanaINEC;Presencial;11;247
PASCUALES;090115;JARDIN MADAGASCAR;09H00505;Educación Regular;Particular;UrbanaINEC;Presencial;2;44
LETAMENDI;090106;VIRGEN DEL SOTO;09H00506;Popular Permanente;Fiscal;UrbanaINEC;Presencial;0;29
LETAMENDI;090106;HERMAN HESSE;09H00507;Educación Regular;Particular;UrbanaINEC;Semipresencial;1;228
LETAMENDI;090106;WERNER Y URSULA HAUSER;09H00508;No Escolarizada;Particular;UrbanaINEC;Presencial;0;0
LETAMENDI;090106;DOCE DE OCTUBRE  204;09H00509;Educación Regular;Particular;UrbanaINEC;Presencial;10;65
LETAMENDI;090106;PEDRO J MENEDEZ NAVARRO;09H00510;Educación Regular;Fiscal;UrbanaINEC;Presencial;19;357
LETAMENDI;090106;CARLOS JULIO AROSEMENA TOLA;09H00511;Educación Regular;Fiscal;UrbanaINEC;Presencial;14;314
LETAMENDI;090106;DRA  ANATOLIA FRANCO DE AMPUERO;09H00512;Educación Regular;Fiscal;UrbanaINEC;Presencial;6;198
LETAMENDI;090106;SANTA ANA;09H00513;Educación Regular;Particular;UrbanaINEC;Presencial;2;13
LETAMENDI;090106;REAL AUDIENCIA DE QUITO;09H00514;Popular Permanente;Fiscal;UrbanaINEC;Presencial;10;162
LETAMENDI;090106;PEQUES AVENTURAS;09H00515;Educación Regular;Particular;UrbanaINEC;Presencial;3;20
LETAMENDI;090106;CASITA DE PARVULOS;09H00516;Educación Regular;Particular;UrbanaINEC;Presencial;2;12
LETAMENDI;090106;SENDERITO;09H00517;Educación Regular;Particular;UrbanaINEC;Presencial;0;47
LETAMENDI;090106;DR EDMUNDO DURAN DIAZ;09H00519;Educación Regular;Particular;UrbanaINEC;Presencial;10;17
LETAMENDI;090106;MI PEQUEÑO CIELO;09H00520;Educación Regular;Particular;UrbanaINEC;Presencial;8;82
LETAMENDI;090106;DR EDMUNDO DURAN DIAZ;09H00521;Educación Regular;Particular;UrbanaINEC;Presencial;6;40
LETAMENDI;090106;JUAN MODESTO CARBO NOBOA;09H00522;Educación Regular;Fiscal;UrbanaINEC;Presencial;11;157
LETAMENDI;090106;SANTA ANA;09H00524;Educación Regular;Particular;UrbanaINEC;Presencial;9;107
LETAMENDI;090106;ESTRELLITAS DEL FUTURO SIGLO XXI;09H00526;Educación Regular;Particular;UrbanaINEC;Presencial;4;0
LETAMENDI;090106;DR EDMUNDO DURAN DIAZ;09H00527;Educación Regular;Particular;UrbanaINEC;Presencial;2;16
LETAMENDI;090106;EL ESPACIO DE LOS NIÑOS   N 827;09H00529;Educación Regular;Particular;UrbanaINEC;Presencial;6;28
LETAMENDI;090106;SAN JUAN BAUTISTA DE LA SALLE;09H00530;Educación Regular;Particular;UrbanaINEC;Presencial;9;76
LETAMENDI;090106;NOCHEBUENA;09H00531;Educación Regular;Particular;UrbanaINEC;Presencial;2;21
LETAMENDI;090106;FRAGATA ESTRELLA DE BELEN;09H00533;Educación Regular;Particular;UrbanaINEC;Presencial;4;50
LETAMENDI;090106;MARIA GARCIA DE CHAVEZ;09H00534;Educación Regular;Particular;UrbanaINEC;Presencial;10;83
LETAMENDI;090106;TIA PIEDACITA;09H00535;Educación Regular;Particular;UrbanaINEC;Presencial;9;330
LETAMENDI;090106;ALLAN MEWHA;09H00536;Educación Regular;Particular;UrbanaINEC;Presencial;8;105
LETAMENDI;090106;SHADAY;09H00537;Educación Regular;Particular;UrbanaINEC;Presencial;4;100
LETAMENDI;090106;CIENCIA Y FUTURO;09H00538;Educación Regular;Particular;UrbanaINEC;Presencial;4;39
LETAMENDI;090106;TOM Y JERRY;09H00539;Educación Regular;Particular;UrbanaINEC;Presencial;2;30
LETAMENDI;090106;MI ESTRELLITA DEL SABER     N 299  095;09H00540;Educación Regular;Particular;UrbanaINEC;Presencial;4;19
LETAMENDI;090106;JULIA BELTRAN DE GONZALEZ;09H00541;Educación Regular;Fiscal;UrbanaINEC;Presencial;2;15
LETAMENDI;090106;JORGE PINCAY CORONEL;09H00542;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;125
LETAMENDI;090106;PUENTE DEL SABER;09H00543;Educación Regular;Particular;UrbanaINEC;Presencial;10;205
LETAMENDI;090106;JACOBO BUCARAM E;09H00545;Educación Regular;Fiscal;UrbanaINEC;Presencial;14;373
LETAMENDI;090106;HOGAR DE BETANIA    1041;09H00546;Educación Regular;Particular;UrbanaINEC;Presencial;7;64
LETAMENDI;090106;DR AGUSTIN VERA LOOR;09H00547;Educación Regular;Fiscal;UrbanaINEC;Presencial;8;210
LETAMENDI;090106;ROSA BORJA DE ICAZA;09H00548;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;244
LETAMENDI;090106;MUNDO DE APRENDIZAJE 643;09H00549;Educación Regular;Particular;UrbanaINEC;Presencial;4;64
LETAMENDI;090106;BOLIVARIANA;09H00550;Educación Regular;Fiscal;UrbanaINEC;Presencial;9;216
LETAMENDI;090106;PROVINCIA DE LOS RIOS;09H00551;Educación Regular;Fiscal;UrbanaINEC;Presencial;27;592
LETAMENDI;090106;CIUDAD DE PORTOVIEJO;09H00552;Educación Regular;Fiscal;UrbanaINEC;Presencial;11;233
LETAMENDI;090106;JULIA BELTRAN DE GONZALEZ;09H00554;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;124
LETAMENDI;090106;JIPIJAPA 358;09H00555;Educación Regular;Fiscal;UrbanaINEC;Presencial;12;185
LETAMENDI;090106;FRANKLIN ROOSEVELT;09H00556;Educación Regular;Fiscal;UrbanaINEC;Presencial;7;82
LETAMENDI;090106;TIA PIEDACITA;09H00557;Educación Regular;Particular;UrbanaINEC;Presencial;3;105
LETAMENDI;090106;LA PRESENTACION;09H00558;Educación Regular;Particular;UrbanaINEC;Presencial;27;571
LETAMENDI;090106;SEMILLITAS DEL SABER;09H00559;Educación Regular;Particular;UrbanaINEC;Presencial;2;37
LETAMENDI;090106;SAYANANDA;09H00560;Educación Regular;Particular;UrbanaINEC;Presencial;3;0
LETAMENDI;090106;MATILDE MARQUEZ DE LA PLATA 138;09H00561;Educación Regular;Fiscal;UrbanaINEC;Presencial;11;308
LETAMENDI;090106;O`NEIL;09H00562;Educación Regular;Particular;UrbanaINEC;Presencial;29;546
LETAMENDI;090106;CAPRICHITOS INFANTILES;09H00564;Educación Regular;Particular;UrbanaINEC;Presencial;6;30
LETAMENDI;090106;ESTRELLITA DEL SABER;09H00565;Educación Regular;Particular;UrbanaINEC;Presencial;4;39
LETAMENDI;090106;TIA PATY;09H00566;Educación Regular;Particular;UrbanaINEC;Presencial;3;37
LETAMENDI;090106;JAIME ALFONSO NEBOT VELASCO;09H00567;Educación Regular;Fiscal;UrbanaINEC;Presencial;15;574
LETAMENDI;090106;PINITOS DE SABIDURIA 768;09H00568;Educación Regular;Particular;UrbanaINEC;Presencial;2;47
LETAMENDI;090106;CRISTO REDENTOR;09H00569;Educación Regular;Particular;UrbanaINEC;Presencial;5;87
LETAMENDI;090106;PROF EDUARDO FLORES TORRES;09H00570;Educación Regular;Fiscal;UrbanaINEC;Presencial;17;352
LETAMENDI;090106;PROVINCIA DEL PICHINCHA;09H00571;Educación Regular;Fiscal;UrbanaINEC;Presencial;24;446
LETAMENDI;090106;CARLOS GUILLERMO ROHDE;09H00572;Educación Regular;Particular;UrbanaINEC;Presencial;6;95
LETAMENDI;090106;DAVID MIRANDA FRANCO;09H00573;Educación Regular;Fiscal;UrbanaINEC;Presencial;11;244
LETAMENDI;090106;LETICIA ALVARADO AVILES;09H00574;Educación Regular;Particular;UrbanaINEC;Presencial;30;907
LETAMENDI;090106;REPUBLICA DE ISRAEL   N 140;09H00575;Educación Regular;Fiscal;UrbanaINEC;Presencial;5;142
LETAMENDI;090106;SARA PALMA DE BARANDEARAN;09H00576;Educación Regular;Fiscal;UrbanaINEC;Presencial;7;184
LETAMENDI;090106;SALVADOR SALAS NEIRA;09H00577;Educación Regular;Particular;UrbanaINEC;Presencial;6;111
LETAMENDI;090106;ASSAD BUCARAM ELMHALIN;09H00578;Educación Regular;Fiscal;UrbanaINEC;Presencial;34;573
LETAMENDI;090106;DAVID LEDESMA VASQUEZ;09H00579;Educación Regular;Fiscal;UrbanaINEC;Presencial;8;187
LETAMENDI;090106;JUAN MARIA MARTINEZ COELLO  333;09H00580;Educación Regular;Fiscal;UrbanaINEC;Presencial;19;531
LETAMENDI;090106;PROVINCIA DEL GUAYAS;09H00581;Educación Regular;Particular;UrbanaINEC;Presencial;11;93
LETAMENDI;090106;DR CARLOS CUEVA TAMARIZ;09H00582;Educación Regular;Fiscal;UrbanaINEC;Presencial;23;272
LETAMENDI;090106;ANA VILLAMIL ICAZA;09H00583;Educación Regular;Particular;UrbanaINEC;Presencial;4;68
LETAMENDI;090106;ANTONIO NEUMANE;09H00584;Educación Regular;Fiscal;UrbanaINEC;Presencial;4;76
LETAMENDI;090106;CASITA DEL SABER;09H00585;Educación Regular;Municipal;UrbanaINEC;Presencial;2;0
LETAMENDI;090106;CENTRO DE EDUCACIÓN INICIAL LOS AMIGUITOS DE MEMBOL;09H00586;Educación Regular;Fiscal;UrbanaINEC;Presencial;6;84
LETAMENDI;090106;NACIONES UNIDAS;09H00590;Educación Regular;Fiscal;UrbanaINEC;Presencial;6;144
LETAMENDI;090106;EJERCITO  NACIONAL;09H00591;Educación Regular;Fiscal;UrbanaINEC;Presencial;8;179
LETAMENDI;090106;PABLO HANIBAL VELA  N 124;09H00592;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;197
LETAMENDI;090106;PININA;09H00593;Educación Regular;Particular;UrbanaINEC;Presencial;2;11
LETAMENDI;090106;LEON FEBRES CORDERO RIVADENEIRA;09H00594;Educación Regular;Particular;UrbanaINEC;Presencial;3;39
LETAMENDI;090106;SEMILLITAS DE ESPERANZA;09H00595;Educación Regular;Particular;UrbanaINEC;Presencial;3;21
LETAMENDI;090106;AMANECER 2000;09H00596;Educación Regular;Particular;UrbanaINEC;Presencial;5;48
LETAMENDI;090106;OFELIA CASTAÑEDA DE SAONA;09H00597;Educación Regular;Fiscal;UrbanaINEC;Presencial;7;173
LETAMENDI;090106;ALEJANDRINA ANDRADE VALDEZ;09H00598;Educación Regular;Fiscal;UrbanaINEC;Presencial;9;138
LETAMENDI;090106;OFELIA CASTAÑEDA DE SAONA;09H00599;Educación Regular;Fiscal;UrbanaINEC;Presencial;1;26
LETAMENDI;090106;MARIA LUISA SOLIS  SANCHEZ;09H00600;Educación Regular;Fiscal;UrbanaINEC;Presencial;13;407
LETAMENDI;090106;VIDA Y LUZ;09H00601;Educación Regular;Particular;UrbanaINEC;Presencial;3;15
LETAMENDI;090106;CLARETIANO;09H00602;Educación Regular;Particular;UrbanaINEC;Presencial;20;389
LETAMENDI;090106;TIA ESPERANZA;09H00603;Educación Regular;Particular;UrbanaINEC;Presencial;6;33
LETAMENDI;090106;5 DE JUNIO;09H00604;Educación Regular;Particular;UrbanaINEC;Presencial;5;95
LETAMENDI;090106;JORGE GUZMAN ORTEGA 329;09H00605;Educación Regular;Fiscal;UrbanaINEC;Presencial;6;150
LETAMENDI;090106;CAMINITOS;09H00606;Educación Regular;Particular;UrbanaINEC;Presencial;5;111
LETAMENDI;090106;CLARETIANA;09H00608;Educación Regular;Particular;UrbanaINEC;Presencial;13;284
LETAMENDI;090106;INES MARIA;09H00609;Educación Regular;Particular;UrbanaINEC;Presencial;5;61
LETAMENDI;090106;SUEÑOS PARVULARIOS;09H00611;Educación Regular;Particular;UrbanaINEC;Presencial;4;0
LETAMENDI;090106;NUEVA IRLANDA;09H00612;Educación Regular;Particular;UrbanaINEC;Presencial;5;79
LETAMENDI;090106;TOMAS ACUÑA CEITEROS;09H00613;Educación Regular;Particular;UrbanaINEC;Presencial;5;80
LETAMENDI;090106;REVERENDO ALFREDO BOCHAN;09H00614;Educación Regular;Particular;UrbanaINEC;Presencial;6;77
LETAMENDI;090106;ESPERANZA CAPUTI OLVERA;09H00615;Educación Regular;Fiscal;UrbanaINEC;Presencial;18;470
LETAMENDI;090106;HERLINDA CASTRO DE PEREZ PAZMIÑO N 94;09H00616;Educación Regular;Fiscal;UrbanaINEC;Presencial;12;142
LETAMENDI;090106;REPUBLICA DE BOLIVIA 36;09H00617;Educación Regular;Fiscal;UrbanaINEC;Presencial;12;235
LETAMENDI;090106;1094 MUNDO DE ILUSIONES;09H00618;Educación Regular;Particular;UrbanaINEC;Presencial;14;173
LETAMENDI;090106;CLEMENCIA CORONEL PINCAY N 39;09H00619;Educación Regular;Fiscal;UrbanaINEC;Presencial;5;232
LETAMENDI;090106;MAURA VERA DE MAQUILON;09H00620;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;170
NUEVE DE OCTUBRE;090107;OLGA PERALTA VALAREZO;09H00621;Educación Regular;Fiscal;UrbanaINEC;Presencial;5;39
NUEVE DE OCTUBRE;090107;PEDRO CARBO;09H00622;Educación Regular;Fiscal;UrbanaINEC;Presencial;11;209
NUEVE DE OCTUBRE;090107;PEDRO CARBO;09H00623;Educación Regular;Fiscal;UrbanaINEC;Presencial;11;278
NUEVE DE OCTUBRE;090107;PADRE CAYETANO TARRUELL;09H00624;Educación Regular;Particular;UrbanaINEC;Presencial;21;553
NUEVE DE OCTUBRE;090107;SAN JUAN BOSCO;09H00625;Educación Regular;Fiscomisional;UrbanaINEC;Presencial;17;342
NUEVE DE OCTUBRE;090107;ADOLFO H. SIMONS;09H00626;Educación Regular;Fiscal;UrbanaINEC;Presencial;49;863
NUEVE DE OCTUBRE;090107;LUIS VERNAZA 565;09H00627;Educación Regular;Particular;UrbanaINEC;Presencial;6;101
TARQUI;090112;ECUATORIANO CHINO;09H00628;Educación Regular;Particular;UrbanaINEC;Presencial;19;142
NUEVE DE OCTUBRE;090107;ANA VILLAMIL ICAZA;09H00629;Educación Regular;Fiscal;UrbanaINEC;Presencial;23;207
NUEVE DE OCTUBRE;090107;VISION;09H00630;Educación Regular;Particular;UrbanaINEC;Presencial;17;132
NUEVE DE OCTUBRE;090107;VISION;09H00631;Educación Regular;Particular;UrbanaINEC;Presencial;14;186
NUEVE DE OCTUBRE;090107;CONS  PART DE MUSICA JORGE ENRIQUE;09H00632;Educación Regular;Particular;UrbanaINEC;Presencial;8;65
NUEVE DE OCTUBRE;090107;JHON F. KENNEDY;09H00633;Educación Regular;Particular;UrbanaINEC;Presencial;35;278
NUEVE DE OCTUBRE;090107;LA ESPAÑOLITA;09H00634;Educación Regular;Particular;UrbanaINEC;Presencial;3;42
NUEVE DE OCTUBRE;090107;LA ESPAÑOLITA;09H00635;Educación Regular;Particular;UrbanaINEC;Presencial;2;22
NUEVE DE OCTUBRE;090107;ECUATORIANO;09H00636;Educación Regular;Particular;UrbanaINEC;Presencial;8;97
NUEVE DE OCTUBRE;090107;ESCUELA AMERICA NO 268;09H00637;Educación Regular;Particular;UrbanaINEC;Presencial;10;89
NUEVE DE OCTUBRE;090107;LA VIA  855;09H00638;Educación Regular;Particular;UrbanaINEC;Presencial;2;10
NUEVE DE OCTUBRE;090107;MERCEDES MORENO IRIGOYEN 99;09H00639;Educación Regular;Particular;UrbanaINEC;Presencial;7;140
NUEVE DE OCTUBRE;090107;REY SALOMON;09H00640;Educación Regular;Particular;UrbanaINEC;Presencial;3;24
NUEVE DE OCTUBRE;090107;MIGUEL DE CERVANTES;09H00641;Educación Regular;Particular;UrbanaINEC;Presencial;9;150
NUEVE DE OCTUBRE;090107;ACADEMIA NAVAL EXPERIMENTAL ALTAMAR;09H00642;Educación Regular;Particular;UrbanaINEC;Presencial;48;1416
NUEVE DE OCTUBRE;090107;BLANCA ARCE PONCE DE SALCEDO;09H00643;Educación Regular;Fiscal;UrbanaINEC;Presencial;11;249
URDANETA;090113;LUIS UQUILLAS R;09H00644;Educación Regular;Particular;UrbanaINEC;Presencial;16;218
NUEVE DE OCTUBRE;090107;PEDRO JOSE HUERTA;09H00645;Educación Regular;Fiscal;UrbanaINEC;Presencial;8;229
NUEVE DE OCTUBRE;090107;DR. MIGUEL MARTINEZ SERRANO;09H00646;Educación Regular;Fiscal;UrbanaINEC;Presencial;60;1425
NUEVE DE OCTUBRE;090107;ALBORADA;09H00647;Educación Regular;Particular;UrbanaINEC;Presencial;7;137
NUEVE DE OCTUBRE;090107;PADRE CAYETANO TARRUELL   26;09H00649;Educación Regular;Particular;UrbanaINEC;Presencial;2;60
NUEVE DE OCTUBRE;090107;LOS SHIRYS;09H00650;Educación Regular;Particular;UrbanaINEC;Presencial;14;89
NUEVE DE OCTUBRE;090107;ATI II PILLAHUASO;09H00651;Educación Regular;Fiscal;UrbanaINEC;Presencial;98;2198
NUEVE DE OCTUBRE;090107;NUEVA  ERA;09H00652;Educación Regular;Particular;UrbanaINEC;Presencial;9;145
NUEVE DE OCTUBRE;090107;COLEGIO EXPERIMENTAL RITA LECUMBERRI;09H00653;Educación Regular;Fiscal;UrbanaINEC;Presencial;67;2082
NUEVE DE OCTUBRE;090107;ANTONIO RICAURTE  19;09H00655;Educación Regular;Fiscal;UrbanaINEC;Presencial;8;261
NUEVE DE OCTUBRE;090107;JUAN LEON MERA  N  15;09H00656;Educación Regular;Fiscal;UrbanaINEC;Presencial;9;258
URDANETA;090113;MARCOS LAURIDO MARTILLO;09H00657;Educación Regular;Particular;UrbanaINEC;Presencial;3;67
NUEVE DE OCTUBRE;090107;NIÑO FELIZ;09H00658;Educación Regular;Particular;UrbanaINEC;Presencial;4;75
URDANETA;090113;MEDARDO ANGEL SILVA;09H00659;Educación Regular;Particular;UrbanaINEC;Presencial;24;267
NUEVE DE OCTUBRE;090107;VISION;09H00660;Educación Regular;Particular;UrbanaINEC;Presencial;3;10
NUEVE DE OCTUBRE;090107;LOS PILLUELOS;09H00661;Educación Regular;Particular;UrbanaINEC;Presencial;2;16
NUEVE DE OCTUBRE;090107;JUAN DE DIOS MARTINEZ MERA;09H00663;Educación Regular;Fiscal;UrbanaINEC;Presencial;30;962
NUEVE DE OCTUBRE;090107;VEINTICUATRO DE MAYO;09H00667;Educación Regular;Fiscal;UrbanaINEC;Presencial;12;248
NUEVE DE OCTUBRE;090107;FEDERICO CHOPIN;09H00668;Educación Regular;Particular;UrbanaINEC;Presencial;11;120
OLMEDO  (SAN ALEJO);090108;DE LA PROVIDENCIA;09H00669;Educación Regular;Particular;UrbanaINEC;Presencial;7;110
OLMEDO  (SAN ALEJO);090108;LA MEDALLA MILAGROSA;09H00671;Educación Regular;Particular;UrbanaINEC;Presencial;18;304
OLMEDO  (SAN ALEJO);090108;DE LA PROVIDENCIA;09H00672;Educación Regular;Particular;UrbanaINEC;Presencial;35;619
OLMEDO  (SAN ALEJO);090108;DE LA PROVIDENCIA;09H00673;Educación Regular;Particular;UrbanaINEC;Presencial;20;449
OLMEDO  (SAN ALEJO);090108;INSTITUTO COELLO;09H00674;Educación Regular;Particular;UrbanaINEC;Presencial;29;910
OLMEDO  (SAN ALEJO);090108;PROVINCIA DE GALAPAGOS;09H00675;Educación Regular;Particular;UrbanaINEC;Presencial;12;368
OLMEDO  (SAN ALEJO);090108;DR EDMUNDO LOPEZ  DOMINGUEZ;09H00677;Educación Regular;Particular;UrbanaINEC;Presencial;8;167
ROCA;090109;UNIDAD  EDUCATIVA  PARTICULAR A DISTANCIA NUEVOS  HORIZONTES EXT 18 G;09H00678;Educación Regular;Particular;UrbanaINEC;A Distancia;7;137
ROCA;090109;CENTRO DE FORMACION  ARTESANAL AMERICANO;09H00679;Educación Regular;Particular;UrbanaINEC;Presencial;10;160
ROCA;090109;CENTRO DE FORMACION ARTESANAL  PARTICULAR AMERICANO;09H00680;Educación Regular;Particular;UrbanaINEC;Presencial;11;160
ROCA;090109;SAN AGUSTIN;09H00682;Educación Regular;Particular;UrbanaINEC;Presencial;52;744
GARCIA MORENO;090105;SAN JOSE BUEN PASTOR;09H00683;Educación Regular;Particular;UrbanaINEC;Presencial;7;177
PASCUALES;090115;PATRIA ECUATORIANA  5;09H00684;Educación Regular;Fiscal;UrbanaINEC;Presencial;13;377
ROCA;090109;13 DE ABRIL;09H00685;Educación Regular;Particular;UrbanaINEC;Presencial;3;248
ROCA;090109;TRECE DE ABRIL;09H00686;Educación Regular;Particular;UrbanaINEC;Presencial;21;315
ROCA;090109;PEDRO CARBO;09H00687;Educación Regular;Particular;UrbanaINEC;Presencial;13;72
ROCAFUERTE;090110;INTERNACIONAL SPEEDWRITING;09H00689;Educación Regular;Particular;UrbanaINEC;Presencial;14;491
GUAYAQUIL;090150;LICEO NORTEAMERICANO;09H00690;Educación Regular;Particular;UrbanaINEC;Presencial;19;72
PASCUALES;090115;NUESTRA JUVENTUD;09H00691;Educación Regular;Particular;UrbanaINEC;Presencial;6;70
TARQUI;090112;KEYSAM N°1067;09H00692;Educación Regular;Particular;UrbanaINEC;Presencial;9;138
TARQUI;090112;CABO SEGUNDO VICENTE ROSERO;09H00693;Educación Regular;Fiscal;UrbanaINEC;Presencial;7;228
ROCAFUERTE;090110;SUEÑOS DORADOS;09H00694;Educación Regular;Particular;UrbanaINEC;Presencial;4;33
XIMENA;090114;AYUDANDO A CRECER;09H00695;Educación Regular;Particular;UrbanaINEC;Presencial;3;30
XIMENA;090114;YOLANDA TOBAR DE MORAN;09H00696;Educación Regular;Particular;UrbanaINEC;Presencial;2;31
XIMENA;090114;ESPERANZA DE LA ISLA;09H00697;Educación Regular;Particular;UrbanaINEC;Presencial;5;54
ROCAFUERTE;090110;ANA PAREDES DE ALFARO;09H00698;Educación Regular;Fiscal;UrbanaINEC;Presencial;65;1002
ROCAFUERTE;090110;ACADEMIA ECUATORIANA;09H00699;Popular Permanente;Particular;UrbanaINEC;Presencial;10;344
TARQUI;090112;SOCIEDAD ITALIAN GARIBALDI;09H00700;Educación Regular;Fiscal;UrbanaINEC;Presencial;14;495
SUCRE;090111;JEHOVA JEREH;09H00701;Educación Regular;Particular;UrbanaINEC;Presencial;9;113
SUCRE;090111;UNIDAD EDUCATIVA INSTITUTO BILINGUE GUAYAQUIL;09H00702;Educación Regular;Particular;UrbanaINEC;Presencial;13;325
SUCRE;090111;NUMA POMPILIO LLONA 47;09H00703;Educación Regular;Fiscal;UrbanaINEC;Presencial;6;183
SUCRE;090111;REPUBLICA DE FRANCIA;09H00704;Educación Regular;Fiscal;UrbanaINEC;Presencial;25;782
SUCRE;090111;GONZALO CABEZAS JARAMILLO;09H00706;Educación Regular;Fiscal;UrbanaINEC;Presencial;29;355
SUCRE;090111;DR EDUARDO RENDON BRIONES   N 419;09H00707;Educación Regular;Particular;UrbanaINEC;Presencial;3;15
SUCRE;090111;JEHOVA JEREH;09H00708;Educación Regular;Particular;UrbanaINEC;Presencial;2;19
SUCRE;090111;CASITA DE VERANO;09H00709;Educación Regular;Particular;UrbanaINEC;Presencial;11;424
SUCRE;090111;VICTOR MANUEL RENDON;09H00710;Educación Regular;Particular;UrbanaINEC;Presencial;3;40
SUCRE;090111;HUANCAVILCA;09H00711;Educación Regular;Particular;UrbanaINEC;Presencial;10;82
SUCRE;090111;REPUBLICA FEDERAL DE ALEMANIA;09H00712;Educación Regular;Fiscal;UrbanaINEC;Presencial;16;440
SUCRE;090111;NAZARETH;09H00713;Popular Permanente;Particular;UrbanaINEC;Presencial;20;594
SUCRE;090111;ADOLFO FASSIO;09H00714;Educación Regular;Fiscal;UrbanaINEC;Presencial;12;298
SUCRE;090111;ESTRELLITAS DEL MAÑANA;09H00716;Educación Regular;Particular;UrbanaINEC;Presencial;4;7
SUCRE;090111;PRIMICIAS;09H00717;Educación Regular;Particular;UrbanaINEC;Presencial;1;4
SUCRE;090111;PEDRO VICENTE MALDONADO;09H00718;Educación Regular;Particular;UrbanaINEC;Presencial;7;39
TARQUI;090112;AGUIRRE ABAD;09H00719;Educación Regular;Fiscal;UrbanaINEC;Presencial;189;4260
SUCRE;090111;ROSARIO SANCHEZ BRUNO;09H00721;Educación Regular;Particular;UrbanaINEC;Presencial;53;832
SUCRE;090111;CASITA DE VERANO;09H00722;Educación Regular;Particular;UrbanaINEC;Presencial;2;68
SUCRE;090111;ZOILA ESPERANZA CRESPO  327;09H00723;Educación Regular;Fiscal;UrbanaINEC;Presencial;8;166
SUCRE;090111;VICENTE ROCAFUERTE;09H00724;Educación Regular;Fiscal;UrbanaINEC;Presencial;15;432
TARQUI;090112;ALEGRIAS INFANTILES;09H00725;Educación Regular;Particular;UrbanaINEC;Presencial;8;67
TARQUI;090112;JARDIN ESCUELA NIRVANA;09H00726;Educación Regular;Particular;UrbanaINEC;Presencial;4;0
TARQUI;090112;EL FORTIN;09H00727;Educación Regular;Particular;UrbanaINEC;Presencial;4;0
TARQUI;090112;JUAN PABLO LUZ DEL NORTE;09H00728;Educación Regular;Particular;UrbanaINEC;Presencial;7;53
TARQUI;090112;CEFERINO NAMUNCURA;09H00729;Popular Permanente;Fiscal;UrbanaINEC;Presencial;3;55
TARQUI;090112;LAURO DAVILA   N   5;09H00731;Educación Regular;Fiscal;UrbanaINEC;Presencial;7;113
TARQUI;090112;BETHSABE CASTILLO DE CASTILLO;09H00732;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;248
TARQUI;090112;ESPERANZA DE FATIMA;09H00733;Educación Regular;Particular;UrbanaINEC;Presencial;2;10
TARQUI;090112;PRECOCES;09H00734;Educación Regular;Particular;UrbanaINEC;Presencial;4;8
TARQUI;090112;VIRGEN DEL CISNE DE SAN EDUARDO;09H00735;Educación Regular;Particular;UrbanaINEC;Presencial;6;83
TARQUI;090112;CINCO DE OCTUBRE;09H00736;Educación Regular;Fiscal;UrbanaINEC;Presencial;5;260
TARQUI;090112;JOHN DAVISON ROCKEFELLER;09H00737;Educación Regular;Fiscal;UrbanaINEC;Presencial;12;303
TARQUI;090112;JUAN PABLO II;09H00738;Educación Regular;Particular;UrbanaINEC;Presencial;4;28
TARQUI;090112;ECUADOR LATINO;09H00739;Educación Regular;Particular;UrbanaINEC;Presencial;4;44
TARQUI;090112;LOGROS;09H00740;Educación Regular;Particular;UrbanaINEC;Presencial;3;65
TARQUI;090112;TIA REBEC;09H00741;Educación Regular;Particular;UrbanaINEC;Presencial;3;0
TARQUI;090112;AVENTURAS EN PAÑALES;09H00742;Educación Regular;Particular;UrbanaINEC;Presencial;12;46
TARQUI;090112;CAMINO DEL ALBA;09H00743;Educación Regular;Particular;UrbanaINEC;Presencial;2;0
TARQUI;090112;CLEMENCIA BRUQUE DE DONOSO;09H00744;Educación Regular;Fiscal;UrbanaINEC;Presencial;6;209
TARQUI;090112;CALIFORNIA;09H00745;Educación Regular;Particular;UrbanaINEC;Presencial;4;16
TARQUI;090112;EL LIBERTADOR;09H00747;Educación Regular;Particular;UrbanaINEC;Presencial;26;379
TARQUI;090112;COLEGIO LUIS BONINI PINO;09H00748;Educación Regular;Fiscal;UrbanaINEC;Presencial;26;619
